fecha,descripcion
2026-01-01,Año Nuevo
2026-03-24,Dia de la Memoria
2026-04-02,Dia del Veterano
2026-05-01,Dia del Trabajador
2026-05-25,Revolucion de Mayo
2026-06-20,Dia de la Bandera
2026-07-09,Dia de la Independencia
2026-08-17,Paso a la Inmortalidad del Gral. San Martin
2026-10-12,Dia del Respeto a la Diversidad
2026-11-20,Dia de la Soberania Nacional
2026-12-08,Inmaculada Concepcion
2026-12-25,Navidad
